firstLetter,secondLetter,thirdLetter,fourthLetter,Adress,City
b,e,b,e,Russia,Moscow
v,i,v,i,USA,Washington
d,o,d,o,Great Britain,London
f,u,f,u,France,Paris
g,y,g,y,Germany,Berlin
h,e,h,e,Canada,Surprise Me
j,i,j,i,UAR,Multiple
k,o,k,o,Russia,Moscow
l,u,l,u,USA,Washington
m,y,m,y,Great Britain,London
n,e,n,e,France,Paris
p,i,p,i,Germany,Berlin
q,o,q,o,Canada,Surprise Me
r,u,r,u,UAR,Multiple
s,y,s,y,Russia,Moscow
t,e,t,e,Great Britain,London
v,y,v,y,France,Paris
w,o,w,o,Germany,Berlin
x,u,x,u,Canada,Surprise Me
z,y,z,y,UAR,Multiple
